Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@VioletaGRojas	Puebla amaneció con 306 nuevos casos de Covid-19 y 72 muertos, confirmó el secretario de Salud, José Antonio Martínez García. @Ultrapuebla @FerCanalesF https://t.co/EuznEiCWv8	2020-06-30 19:13:58	es		0.0	0.0		Violeta García R	Reportera de Ultra Noticias 92.5 FM con Fernando Canales	1749.0	220.0	154.0	779.0	6.0	False		
@LaPagina	El 95% de los salvadoreños aprueba las acciones del Gobierno para enfrentar la pandemia del covid-19 https://t.co/WPLAkTqbsX	2020-06-30 19:13:57	es		0.0	0.0		Diario La Página	Periódico Digital de El Salvador, Noticias de El Salvador	228624.0	1174.0	945.0	434395.0	724.0	True		
@MVSNoticias	"FALSO🚨 Las mascarillas han sido blanco de numerosas publicaciones donde usuarios han asegurado que son dañinas
https://t.co/T7rpQn7fgy"	2020-06-30 19:13:56	es		0.0	0.0		MVS Noticias	El portal de la estación MVS Noticias Infórmate del acontecer de México y el mundo.	735737.0	481.0	3745.0	1825472.0	5791.0	True		
@BontempsCesar	PRESIDENTE @NICOLASMADURO POR FAVOR YA PARE DE UNA VEZ ESTA PROBLEMÁTICA DE @WalterDossier YA ESTE TEMA CANSA Y NADIE DA RESPUESTA SOBRE LA MISMA.....TENENOS OTRAS PRIORIDADES COMO EL COVID-19 Y ESTO SE HACE CANSON......@dcabellor POR FAVOR TERMINE CON ESTA NOVELA DE UNA VEZ.	2020-06-30 19:13:53	es		0.0	0.0		Julio Cesar Bontemps	profundamente Chavista, antiimperialista  leal al presidente Nicolás Maduro y a Yelitze santaella #Maturin #Monagas 🇻🇪🇻🇪🇻🇪🇻🇪 #VenceremosXLaPatria.	45071.0	48.0	4947.0	3601.0	3.0	False		
@gbviquez	Es como tan innecesario que tengan que felicitar a los aficionados de futbol por un buen comportamiento. El COVID-19 es responsabilidad de todos, se sabe que habrá otro tiempo para celebrar.	2020-06-30 19:13:50	es		0.0	0.0		Gonzalo Bogantes		25901.0	13159.0	1377.0	809.0	8.0	False		
@MontserratiCat	Espai Jove. Club de feina: ‘Que no t’aturi la COVID-19’ https://t.co/V055C4z2VB #martorell	2020-06-30 19:13:47	es		0.0	0.0		Som Montserratí	Viu la terra, assaboreix els pobles de Montserrat || Comarca del #Montserratí || Cooperativa del Montserratí SCCL ||	27209.0	19994.0	1173.0	3263.0	62.0	False		
@farmacialanucia	Cómo influye el grupo sanguíneo en la resistencia al #COVID19 Covid-19 https://t.co/jmZpDHDXMd	2020-06-30 19:13:43	es		0.0	0.0		farmacialanucia	Twitter de farmacialanucia. Suscríbete a nuestro canal YouTube https://t.co/xq00RwoMgs	19512.0	1497.0	15494.0	15685.0	87.0	False		
@eddie_noti6	Trasciende que en el Triage de Expocentro en #SPS, ha muerto una persona por sospecha de Covid -19 ... estamos llegando donde muchos querían que llegáramos , me duele lo que está pasando y seguirá pasando sino se hacen los correctivos necesarios.	2020-06-30 19:13:42	es		0.0	0.0		Eddie Andino	Dios es fiel , Periodista y Presentador de noticias en Canal 6 , amo mi pais , el mejor del mundo.	13324.0	1672.0	720.0	2482.0	18.0	False		
@crevillacr	3359 casos confirmados por COVID-19 (+190) 30-06-20 https://t.co/gfJ1jSt6BN	2020-06-30 19:13:42	es		0.0	0.0		Carlos Revilla		23492.0	1.0	40.0	213.0	1.0	False		
