Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Lilianatropical	Planificación familiar. En tiempos post covid-19 https://t.co/GGE9We5ahr	2020-03-31 20:09:45	es		0.0	0.0		Lilian	Web developer, sueña con ser ingeniera de software y tener su propia compañía con  chocolates para todos. 25 y contando🌚le gusta hablar de ciencia ficción☄️	5056.0	7221.0	184.0	41.0	0.0	False		
@AfricainIncomp1	Repose en paix #papediouf #Covid_19 https://t.co/rfya5SPW0r	2020-03-31 20:09:44	es		0.0	0.0		αƑЯΙϹΑΙИ ιиϲοмρяιѕ	Regarde ma bannière	1175.0	713.0	1734.0	1238.0	0.0	False		
@HectorAstudillo	"Les comparto el mensaje del Secretario de Salud, @cayo1950, sobre la situación de Guerrero ante el #Covid_19.

https://t.co/HQ2evMGinG"	2020-03-31 20:09:44	es		0.0	0.0		Héctor Astudillo	Gobernador Constitucional del Estado de Guerrero. Originario de Chilpancingo de los Bravo. Guerrero nos necesita a todxs.	20420.0	35507.0	1324.0	119467.0	312.0	True		
@_danielm21	@AbrilTovmar Ojalá y le di covid-19 🤭	2020-03-31 20:09:43	es		0.0	0.0	@AbrilTovmar	Daniel	"Fortis Fortuna Adiuvat

24 years old, Rayado 🇫🇮❤️"	10401.0	6425.0	110.0	154.0	1.0	False		
@Isisffyl	Podcasts que Cubren el Coronavirus se han Descargado más de 27.5 Millones de Veces #COVID19mx #COVID2019 #COVID _19 #Coronavirus https://t.co/X2jv3B989m https://t.co/xOTi5y9sBt	2020-03-31 20:09:43	es		0.0	0.0		Mística Loveless	Mi autoestima esta bien, la estima que tengo por los demás es muy baja.	24485.0	65783.0	2118.0	2300.0	13.0	False		
@Notitolima	Dos muertos y 108 casos nuevos en Colombia por COVID-19 https://t.co/KjRRGixHDp https://t.co/FzootuquDV	2020-03-31 20:09:43	es		0.0	0.0		NOTITOLIMA.COM	PERIODISMO 2020	330.0	3.0	81.0	23.0	0.0	False		
@jmuria	Consigue mogollón de juegazos, comics y libros por sólo 28€ y ayuda para vencer en COVID-19. What else? https://t.co/18GmYHZb79	2020-03-31 20:09:43	es		0.0	0.0		Jorge Muria (en casa 🏡)	System thinker, waste hater, pragmatic scrum master.	3430.0	489.0	196.0	221.0	51.0	False		
@GranmaEmpresa	"Protocolo Necesario en tiempos de Covid-19
 #QuedateEnCasa #EvitaElCoronavirus #NosUneResponsabilidad. @UElectrica @EnergiaMinasCub https://t.co/bUyXybi5xk"	2020-03-31 20:09:42	es		0.0	0.0		Empresa Eléctrica de Granma	Prestamos servicios de generación, transmisión, distribución y comercialización de la energía eléctrica para satisfacer a los clientes con eficiencia y calidad	484.0	132.0	79.0	54.0	0.0	False		
@mig_gl	"Yo cuando llego el coronavirus a Venezuela. 
#Covid_19 https://t.co/GzgyJ3Drqy"	2020-03-31 20:09:41	es		0.0	0.0		Tomy	Activo.	1125.0	1105.0	813.0	748.0	0.0	False		
@_Romero1	Cada generación tiene un suceso que marca su destino, quien diría que para nosotros sería el COVID-19. ☹️	2020-03-31 20:09:41	es		0.0	0.0		Alex	"Twenty-One //
84:10🧡."	80638.0	26431.0	717.0	758.0	9.0	False		
@HectorInirio	Petróleo: El covid-19 provoca caída de un 66.8% en primer trimestre de 2020 https://t.co/vwXdKUIOxE	2020-03-31 20:09:40	es		0.0	0.0		Ing Héctor Inirio	IngCivil+ContratistaGeneral CivilEng+GeneralContractor 🏡🏘🏝 Twitter LIBRE... Amistad+RESPETO a derecho ajeno=¡PAZ!  😇😀👋💚🇩🇴	95269.0	113.0	359.0	1324.0	16.0	False		
