Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@anamariapalos	Ayuso, en el peor momento de su mandato tras una semana llena de errores, rectificaciones y tensiones con Cs https://t.co/oQ5ak0QVgn via @publico_es	2020-05-08 13:18:35	es		0.0	0.0		Ana Maria Palos		80453.0	29992.0	1259.0	388.0	20.0	False		
@RadioMayabeque	#RadioMayabeque #Cuba #CubaRadio98 #Mayabeque Clínica estomatológica de Mayabeque mantiene prestación de servicios (Audio) https://t.co/oOiqfN6Ra2	2020-05-08 13:18:35	es		0.0	0.0		Radio Mayabeque	Radio Mayabeque Digital. La voz del Mayabeque en Internet. Sitio dedicado a divulgar el acontecer noticioso en la provincia.	39293.0	10159.0	210.0	1324.0	26.0	False		
@OrgulloIndito	"Anestesista condenado por infectar de hepatitis C a pacientes.
2000 años de prisión.
Echando cuentas
Los que no dieron sovaldi,
PP VOX y los que pretenden debilitar a la ciudadanía y contagiar la de covid-19 echándoles a la calle¿cuánto cabría por cabeza en la cárcel?@fiscal_es https://t.co/EcGl6eavH3"	2020-05-08 13:18:35	es		0.0	0.0		🍀Orgullo Indito🍀13	"Activista🔻🐚 ddhh♀️
Alejandra Cano Oviedo
SinPerosContigo•_
Pájaros libres.Oh Capitana,mi capitana!!
Héroe sin capa.En mi mundo de música bajo la piel🏳️‍🌈🎶"	11445.0	20741.0	336.0	95.0	0.0	False		
@leojara33	@JohanaArandaR urge conocer resultado de pruebas del covid 19 tomadas a funcionarios del COIBA Ibagué. @Andreshurtado_7 por favor prioridad sin dilaciones. @persoibague @PGN_COL	2020-05-08 13:18:34	es		0.0	0.0	@JohanaArandaR	leonardo jaramillo		11.0	0.0	33.0	5.0	0.0	False		
@enric12497720	Coronavirus España directo: 222.857 casos positivos y 26.299 fallecimientos, 229 más que ayer https://t.co/fbOjCLWxFM vía @ABC_Conocer	2020-05-08 13:18:33	es		0.0	0.0		el menda	😂😂😂😂😂	951.0	52.0	144.0	14.0	0.0	False		
@hazelfeig	@jossanch89 Ni el INEC tiene todavía los datos del verdadero impacto del Covid-19 (como aclara la noticia) y la mayor parte del desempleo de mujeres es acumulado/de largo plazo, pero nunca falta quien salga a inventar lo que no sabe 😅 Te pongo en mute.	2020-05-08 13:18:32	es		0.0	0.0	@jossanch89	Hazel Feigenblatt	"Journalist, Instructor @merrillcollege, ""Post-truth"" writer @nacion, former Research Director @globalintegrity. Interests: Media, Secularism, Corruption, Gender"	13596.0	47307.0	3245.0	9305.0	151.0	False		
@KarlaGCh1	Qué pasó @AlessandriFelip tienes miedo de enfrentar a los vecinos??? Nos acaban de bajar punto de prensa en @Bienvenidos13 #Covid_19 #cuarentena @Muni_Stgo el alcalde miente.	2020-05-08 13:18:32	es		0.0	0.0		Unni (언니) Karlita	Mujer, madre de Octavio, mami humana de Junior, Compañera de vida de mi Patito. Trabajadora empedernida 💪🏻. Y la más fiel A.R.M.Y. 💜	237.0	297.0	117.0	13.0	0.0	False		
@LoQueSigue_	"Cifras ocultas: México desatiende ola de muertes en la capital

Según un análisis hecho por The New York Times, la cifra de personas que pudieron haber muerto de la COVID-19 en Ciudad de México es más de tres veces la que muestran las cifras federales.

https://t.co/Xbr6SC9w0u"	2020-05-08 13:18:32	es		0.0	0.0		LoQueSigue.tv #QuédateEnCasa	Tecnopolítica  BOB’s 2014 | fmr @BuzzFeed.	120561.0	15776.0	692.0	34932.0	507.0	True		
