Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@CaroCarisima	"Qué preocupante que @nestora_salgado tenga #COVID19.

Esperemos que use cubrebocas para no contagiar a las personas que tenga secuestradas en estos momentos.

🤷🏻‍♀️"	2020-06-30 19:32:17	es		0.0	0.0		Caro Alvarez	Liberal a ultranza y crítica del poder | PhD en Ciencia Política @nyuniversity | A favor de los GMO's, las vacunas y los plásticos	3017.0	4081.0	2433.0	6770.0	12.0	False		
@wolverinetw	"Epidemiological curves (ECDC, 6/30)

#新型コロナウイルス #COVID19 #StayHome
https://t.co/RFlq8hXDng https://t.co/b7LmVdECIG"	2020-06-30 19:32:16	es		0.0	0.0		Logan👃マスク鼻出し📱接触確認	Father/Japanese/Fired & filing/Cultivating to know what love is/Social withdrawal/Welcome followers/ https://t.co/zunsq3Cyyu🤝	79244.0	100.0	104.0	329.0	14.0	False		
@juanmitaboada	Ya está aquí demo de la app Española para el #COVID19 https://t.co/1RZiTtOsQE	2020-06-30 19:32:15	es		0.0	0.0		Juanmi Taboada	ProgrammingError: execute() first. #DataScientist #DevOps #BigData #MachineLearning #Python #C @Cassandra #Linux @GSuite @GCPcloud #Aliolirov 🌊⚓	4254.0	2821.0	384.0	342.0	80.0	False		
@ctvcperu	"#CTVCinforma🚨 ¿Ya contestaste la #EncuestaNacional #COVID19? Es rápido, sencillo,no necesita smartphone ni conexión a internet y permitirá mejorar la información de #coronavirus en el país. 
➡️https://t.co/8NJj2Z9VOi
#QuédateEnCasa #LávateLasManos #TomaTuDistancia #UsaMascarilla https://t.co/iLcK59zflE"	2020-06-30 19:32:14	es		0.0	0.0		Comité de Transparencia y Vigilancia Ciudadana	Hacemos veeduría y vigilancia a los servicios de los programas sociales del Midis, para que se respeten los derechos de sus usuarios. #ParticipaciónCiudadana	777.0	93.0	153.0	345.0	1.0	False		
@DavidxCuba	"Desde #Miami los rancios acólitos, dicen estar preocupados por Cuba, pero incitan a la violencia, dicen luchar por la democracia, pero apoyan el #Bloqueo, dicen y dicen tantas cosas siempre dependiendo del dinero que le paguen

Yo sin embargo les pido que se cuiden de la #Covid19"	2020-06-30 19:32:10	es		0.0	0.0		David 💯*🇨🇺	Abogado, martiano-fidelista🇨🇺, chavista🇻🇪, sandinista🇳🇮 y 💯% antiimperialista. _los más sencillos, ganaremos, aunque tú no lo creas, ganaremos_ ✊	26778.0	31723.0	4705.0	13066.0	13.0	False		
@Nataliagp150	@DeZurdaTeam @marti160patria @DiazCanelB @anamarianpp @Guerrerotony161 @AbelPrieto11 @mcolozza2021 @ElCuervoNica @AlejandroGilF @hekglez @joaquinsglez #HéroesDeAzul q desde el comienzo de la batalla contra la #COVID19, han asumido desde el compromiso y la entrega, los nuevos retos que impone la situación epidemiológica, sin abandonar sus misiones de siempre, que garantizan el orden y la seguridad de mi #Cuba 🇨🇺 #DeZurdaTeam 🤝 https://t.co/wHAVtPX8eJ	2020-06-30 19:32:10	es		0.0	0.0	@DeZurdaTeam	Natalia Guerrera (#Quédate en 🏠)	🇨🇺Cubana 100%, Ingeniera Informática 💻 amante de esta hermosa isla, fidelista por siempre ♥️♥️ #DeZurdaTeam 🤝 🐬 #DinastíaMilenials	24842.0	18627.0	4368.0	6053.0	5.0	False		
@LiaPGuerrero	"@DeZurdaTeam @marti160patria @DiazCanelB @anamarianpp @Guerrerotony161 @AbelPrieto11 @mcolozza2021 @ElCuervoNica @AlejandroGilF @hekglez @joaquinsglez Felicidades a los hombres y mujeres que se sacrifican todos los días y que han jugado un papel primordial en el enfrentamiento de la #COVID19, ellos son merecedores de nuestra disciplina y cumplimiento.

Ellos son #HéroesDeAzul

#Cuba 🇨🇺
#DeZurdaTeam 🤝 https://t.co/gzWuZIbtrr"	2020-06-30 19:31:52	es		0.0	0.0	@DeZurdaTeam	LiaP Guerrero 🇨🇺🚩😷	"Mi cuenta @LiaPazG está suspendida, pero he renacido como el ave Fénix.
Soy #DeZurdaTeam 🤝, x tener sangre roja y ♥️ a la izquierda. #Cuba 🇨🇺"	591.0	536.0	1001.0	1042.0	0.0	False		
@INSABI_mx	"El papel de las y los profesionales de la salud es fundamental para hacer frente a la epidemia de #COVID19, por eso continúa la convocatoria de Médicos del Bienestar.
👩‍⚕️👨‍⚕️
Inscríbete en: https://t.co/8ktCjrbEOc https://t.co/7TIVJ9DyFp"	2020-06-30 19:31:51	es		0.0	0.0		Instituto de Salud para el Bienestar	Brinda servicios de salud y medicamentos gratuitos y de calidad a todas las personas que se encuentren en el país y no cuenten con seguridad social.	2109.0	5.0	43.0	23209.0	54.0	True		
