Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@mitecogob	"🌱 La reconstrucción verde tras la crisis del #Covid19 se abre camino en Europa.

España🇪🇸 ya cuenta con un mapa acertado: 
✅Remitido a Bruselas el PNIEC
✅Trasladada al Parlamento la #LeydeClima
✅Aprobada #EspañaCircular2030 
✅Presentado #PNACC y #LeydeResiduos https://t.co/O8SomFUzK7"	2020-08-03 19:29:14	es		0.0	0.0		Transición Ecológica y Reto Demográfico	Vicepresidencia Cuarta del Gobierno de España - Ministerio para la Transición Ecológica y el Reto Demográfico	9975.0	356.0	259.0	42266.0	581.0	True		
@ManabiHermosa	Once médicos guayaquileños que habían retornado hace tres días a su ciudad de origen, luego de permanecer un mes en Quito, salieron este lunes con destino hacia poblaciones de la provincia de Manabí, en una nueva misión dentro del combate contra la pandemia del #COVID19. https://t.co/ofbcvbOU70	2020-08-03 19:29:14	es		0.0	0.0		Manabí	Manabí Informativo es una pagina de información. Somos portavoces de la comunidad. Nuestro objetivo es difundir los acontecimientos que ocurren en la provincia.	8287.0	17.0	1461.0	1724.0	7.0	False		
@IMEI_SLP	"🚫 El tránsito en la frontera entre México y EE.UU continúa restringido.
🚫 Evita todo viaje con intenciones recreativas o turísticas, fuera o dentro del país.
Entre todos podemos detener la transmisión del #Covid19
#PorTuFamilia #SiSalesCuídate #UnidosSaldremosAdelante https://t.co/ZEVBpyWLoL"	2020-08-03 19:29:12	es		0.0	0.0		Inst. Migración SLP.	Cuenta Oficial del Instituto de Migración y Enlace Internacional del Gobierno del Estado 2015-2021. German Gedovius 175 Col del Valle, San Luis Potosí.	3989.0	5791.0	1762.0	1118.0	6.0	False		
@ACN_Cuba	"El @DrDuranGarcia director nacional de #Epidemiología de #Cuba, informó hoy que en los 15 municipios de #LaHabana  se realizan #estudios masivos para detectar el #SARS_CoV_2, #virus causante de la #COVID19

#CubaEsSalud #CubaPorLaSalud #CubaSalva 

📍https://t.co/yDbJ0B0WPk https://t.co/eP5A6LTSrJ"	2020-08-03 19:29:05	es	CU	0.0	0.0		Agencia Cubana de Noticias	"Agencia Cubana de Noticias 
https://t.co/mqMixLKVtZ…
Facebook: https://t.co/PeOli8iOmL
Instagram: acn_cuba SoundCloud: acn-cuba"	68627.0	2909.0	1130.0	30117.0	342.0	False		
@Panorama_sv	A la fecha el ministerio de @SaludSV, junto con equipos de @EICEES, han desplazado las cabinas móviles para la toma de pruebas PCR en San Salvador, Soyapango, Santa Ana, San Miguel, La Unión y Santa Tecla, zonas identificadas con altos índices de #COVID19. https://t.co/CHyOvlRT3L	2020-08-03 19:29:04	es		0.0	0.0	@Panorama_sv	Noticiero Panorama	Informativo de @Canal10Sv | Información objetiva sobre la realidad nacional e internacional.	121263.0	549.0	668.0	41509.0	203.0	False		
@IINOEA	"En el macro del Conversatorio de Enlaces de Participación, @SIPINNA_MX expuso sobre los avances y resultados de sus acciones durante la emergencia sanitaria generada por el #COVID19

Participaron: @CN_Igualdad 🇪🇨 @ODN_CIPRODENI 🇬🇹 @SIPINNA_MX 🇲🇽 https://t.co/hAcyJqmcOq"	2020-08-03 19:29:02	es		0.0	0.0		IIN - OEA	Instituto Interamericano del Niño, la Niña y Adolescentes. Organismo Especializado de @OEA_Oficial.	2694.0	1763.0	574.0	3317.0	27.0	False		
@ElSoldelaTarde	En @ElSoldelaTarde @jimenezpedro27 comenta sobre la situación del país y el debate generado por el tema del inicio del año escolar en medio de la pandemia de #Covid19. @ZolFM1065 #Lamásinteractiva @MediaRcc	2020-08-03 19:29:02	es		0.0	0.0		El Sol de la Tarde	Lunes a Viernes de 2:30 a 5 PM por @ZOLFM1065 y https://t.co/VxaAWUaQPK con @CristhianJ30 @ConsueloDespra1 @ljchavez23 @angelacostaf @jimenezpedro27	44810.0	66.0	206.0	20588.0	64.0	False		
@_RoxanaRuiz	"Funcionarios de gobierno en materia de turismo exhortan a no arriesgarse a contraer el #COVID19 en paseos

""Con solo 30 minutos puede llevar el virus a casa"" jefe POLITUR.

""A los empresarios ,no expongan a su personal"" dice la Pdta. del ISTU @EnyAguinada

@TN21sv https://t.co/9ZMx5KI7HF"	2020-08-03 19:29:01	es		0.0	0.0		Roxana Ruiz	"#ElSalvador. 📺 
Noticias policiales, judiciales, protestas etc

Enamorada de mis hijos,las playas y lagos😊
 Enemiga de la rutina, amante de los detalles"	27816.0	5519.0	1725.0	43138.0	94.0	False		
