Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@JoseTassias	Si los sanitarios, cajeras y fuerzas de seguridad son los que están en primera línea. Pero de los niños no se habla, y ellos también son mayores heroes que hay aguantando esto. #COVID19 #YoMeQuedoEnCasa	2020-04-04 17:05:45	es		0.0	0.0		Jose (Etxean / En Casa) 🏡	HTML5+CSS3 Lover #WordPress #SEO, #PPC. Si cumple objetivos, el tráfico da igual de donde venga | Murtziakoa - Iruñekoa - Nafarroakoa	5306.0	1545.0	502.0	1165.0	120.0	False		
@stph___	Lávense esa barba por fi que el #COVID19 se aísla ahi también sucios	2020-04-04 17:05:43	es		0.0	0.0		Steph		750.0	74.0	43.0	27.0	0.0	False		
@sally_schuster	#covid19 I La desigualdad marcará el destino de esta pandemia https://t.co/Zn9L07FnQJ via @YouTube @openDemocracy @demoAbierta @FrancescBadia1	2020-04-04 17:05:36	es		0.0	0.0		The Sally Schuster	Art, Politics and Comedy. If you have any of those, I'll probably be interested. Working at @fordfoundation and studying at @CiderUniandes. Tweets are my own.	3043.0	832.0	435.0	200.0	4.0	False		
@CarlosRumbo11	Fin de semana de #QuedateEnTuCasa, pronto volveremos a vernos en las playas, pero todo dependerá de tu comportamiento ante las medidas anunciadas por las autoridades para contener el #COVID19 https://t.co/VI8Cq3zEDW	2020-04-04 17:05:33	es		0.0	0.0		Carlos A. Rumbo Pérez	"Director del Sistema Nacional de Protección Civil de Panamá @Sinaproc_Panama
Emergencias: (+507) 520-4426 o 520-4429
#PrevenirSalvaVidas"	610.0	703.0	144.0	934.0	2.0	False		
@gabrielamaizel	"A todos... que vamos a hacer con lo que nos tocó?
#2020InOneWord #COVID19 https://t.co/PXCuaFzt4e"	2020-04-04 17:05:29	es		0.0	0.0		Gabriela Maizel	‏בואו להגן רק על מה שאנחנו אוהבים	9502.0	1845.0	633.0	1005.0	6.0	False		
@aytocuenca	"‼️AVANCE‼️
El Ayuntamiento prepara un nuevo paquete de medidas tributarias que verá la luz a principios de semana, según ha avanzado el concejal de Hacienda, ⁦@Jmmez⁩
#covid19 #QuédateEnCasa #JuntosLoParamos  https://t.co/jpRz8clfVd"	2020-04-04 17:05:28	es		0.0	0.0		Ayuntamiento Cuenca	Perfil oficial del Ayuntamiento de Cuenca	11070.0	444.0	521.0	8712.0	102.0	True		
@rafiqui83	#COVID19 || datos que pueden salvar muchas vidas #HondurasAplaude https://t.co/1PrOe9655K	2020-04-04 17:05:25	es		0.0	0.0		Rafael Nuñez	ing. en negocios • #ElPuebloComercial • intentando ser buen padre • fanatico del baile y la musica • fui a votar pero NO me dejaron elegir	52106.0	6089.0	1825.0	1035.0	6.0	False		
@csbuelot	"Personal de salud de @PoliciaPeru totalmente ABANDONADO! NO LES DAN EPP #bioseguridad A PESAR DE TENERLOS! #SanidadPolicial colapsada en el Hosp. Central y otros hospitales x congestión de pacientes #policías con #COVID19. #AyudaALaSanidadPolicial 
@victorzamora @leydelacalle"	2020-04-04 17:05:23	es		0.0	0.0		Cesar S.	Activista de comer chifles. Docente idealista e investigador de oficio. No caigo bien en general... ¿Consultas? primero saque su ticket.	12213.0	8447.0	989.0	548.0	5.0	False		
