Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@sswine_spirits	THE DOORS ARE OPEN...but please be smart. We are doing everything we can but we also that you do everything you can as well. Clean your hands, wear a mask, keep your distance. You can call ahead and order to pick up at the window also. (662-837-0025) #COVID19 #shopsilversprings https://t.co/oTF6KvOYfE	2020-05-04 16:08:23	en		0.0	0.0		Silver Springs Wine & Spirits	Funkiest little liquor store in Mississippi	320.0	135.0	36.0	39.0	0.0	False		
@nickleback3200	#COVID19 @optimum @OptimumHelp  test they tech before he come to my house rude	2020-05-04 16:08:23	en		0.0	0.0		awesome aaron		793.0	44.0	333.0	58.0	0.0	False		
@Em_ca23	"Hahaha, French people are wondering when and where they can go on holidays whilst in the UK we still don't know when the #lockdown is going to be over....

#COVID19 #MondayMotivation"	2020-05-04 16:08:23	en		0.0	0.0		Émilie	"#law Graduate #LLM #LPC student 
#Lawyer wannabe. 
#feminist ~ 🏳️‍🌈 Ally ~ writer sometimes ~cynical always. 
#eurovision fan ~
Wine aficionado - Coffee Freak"	19064.0	33328.0	4977.0	4571.0	12.0	False		
@AdeniThinker	"Death cases from Corona Virus in Aden city of Yemen is increasing rapidly. Situations in Aden are bad. The government are not doing anything to stop this. The hospitals don't have enough resources (PPE) to protect doctors and nurses. Please help!

#coronavirus #COVID19 #كورونا"	2020-05-04 16:08:22	en		0.0	0.0		Adeni عدني	:)	408.0	432.0	146.0	42.0	0.0	False		
@0x0101011100	#Covid19 Le Sénat vient de rejeter le plan de déconfinement présenté par Edouard Philippe #GiletsJaunes @GJaunes @GiletsJaunesGo @MotardsGJFRANCE @GiletsJaunes94 @gjsciences @giletsjaunesco2 @RouenGJ @GiletsM @GiletsToulouse @EricPerroud @RTenfrancais https://t.co/fvM4ctyJbp	2020-05-04 16:08:22	fr		0.0	0.0		0x0101011100	We are #GiletsJaunes #Yellowvests #FrenchPatriot #DigitalSoldier. We are legion. We do not forgive. We do not forget. Expect us!	2243.0	2584.0	47.0	193.0	4.0	False		
@diegopyo	"Dr. Luis Escoto de la @opsoms
@Ops_Paraguay OPS/OMS: ""Podría demorar un año en aparecer la cura, la vacuna contra el #covid19. Por ahora, nuestra conducta es nuestra vacuna"". Enterate #ahora en #vivo en los canales 18 @AmericaTVPy  y 22 @a24compy, en #BDA. https://t.co/SR9RepeJp1"	2020-05-04 16:08:22	es		0.0	0.0		Diego Martínez Ávila	EXISTE UN PAIS REAL FUERA DEL CELULAR, DEL SMARTPHONE Y DE LA TV.	11868.0	2985.0	771.0	3472.0	20.0	False		
@indusdotnews	"Indus News Headlines | 16:00 UTC | 04 May 2020

Watch Indus News Live: https://t.co/TFtz7ERW2o

#IndusNews #NewsHeadlines #AfghanPeace #Taliban #COVID19 #Coronavirus https://t.co/JfurXSceR1"	2020-05-04 16:08:22	en		0.0	0.0		Indus News	News from around the world. Follow us for exclusive insights, diverse analysis and in-depth coverage. Broadcasting from Pakistan.	13462.0	42.0	167.0	15978.0	56.0	False		
@Stargazertill	"#china making a ""killing"" on defective products after looking to kill us all with #covid19 #coronavirus. And #democrats are still licking china's boots.
https://t.co/VrNIVNesk8"	2020-05-04 16:08:22	en		0.0	0.0		Stargazer		120.0	208.0	0.0	2.0	0.0	False		
