Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@primeraedicionw	"#QuedateEnCasa 
Este viernes se confirmó la muerte de una mujer de 67 años. El total de casos de covid-19 en el país es de 1.894.
https://t.co/5ZuzDKf6uR"	2020-04-10 20:19:41	es		0.0	0.0		Primera Edición	"Diario Primera Edición
Corrientes 2434, Posadas"	114105.0	599.0	616.0	20817.0	201.0	True		
@ElToqueDeDiana	#10Abr Una familia de Guayaquil, Ecuador, intentó sacar de la ciudad a un hombre muerto por COVID-19, haciéndolo pasar por vivo. Policías se dieron cuenta cuando revisaron el auto y la persona no reaccionaba. https://t.co/e1QfUlXWy9	2020-04-10 20:19:40	es		0.0	0.0		El Toque de Diana	Periodismo No-Mainstream. #ElToqueDeDiana en radio de lun a vie de 6 a 9am en @LaRomantica889. También en https://t.co/JLslaz4xPh	10781.0	369.0	665.0	65538.0	510.0	False		
@InnovaLabRD	"Presentamos las estadísticas del Covid-19 en la República Dominicana al día de hoy 10 de abril, tomando como fuente los datos confirmados por Ministerio de Salud Pública de la República Dominicana #coronavirusenrd #quedateencasa

Rompamos la cadena de contagio #yomequedoencasa https://t.co/eiJ5cbO6Cu"	2020-04-10 20:19:40	es		0.0	0.0		InnovaLabRD	💡Laboratorio de Innovación para la Democracia Más detalles 🗓 23 enero 2020	76.0	37.0	6.0	132.0	0.0	False		
@surcosdigital	Costa Rica: sin liderazgo, visión o claridad internacional ante COVID-19 https://t.co/mWGG39IGOz https://t.co/AQCguOpth4	2020-04-10 20:19:38	es		0.0	0.0		Surcos Digital	Comunicación comprometida con la democracia participativa que se construye desde las comunidades.	2113.0	4.0	1.0	62.0	1.0	False		
@manuelmoralesvi	La Junta de Andalucía bordea la publicidad ilícita con la campaña en medios sobre su gestión del Covid-19 https://t.co/8g2Cfbl1Vw vía @eldiarioand	2020-04-10 20:19:37	es		0.0	0.0		manuel morales	La política como pasión, estudio y trabajo para cambiar nuestro mundo.  Fotografía, ciclismo y  baloncesto para vivir la vida. Andaluz y Sevillano	8363.0	3280.0	1754.0	558.0	14.0	False		
@surcosdigital	Costa Rica: sin liderazgo, visión o claridad internacional ante COVID-19 https://t.co/mWGG39IGOz https://t.co/sb00NSLX3G	2020-04-10 20:19:36	es		0.0	0.0		Surcos Digital	Comunicación comprometida con la democracia participativa que se construye desde las comunidades.	2113.0	4.0	1.0	62.0	1.0	False		
@AldiBruno1	https://t.co/CN6oJBxbtK Tema de mucho interés, cuestiones laborales en esta época de Covid-19. Es a las 18hs!!!!! Esta bueno informarse. También se van a abrir un espacio de preguntas. Esto es para que fomentemos al debate y al espíritu critico de todos.	2020-04-10 20:19:36	es		0.0	0.0		𝐀𝐋𝐃𝐀𝐍𝐀	𝑾𝒂𝒍𝒌 𝒊𝒏 𝒄𝒐𝒖𝒓𝒂𝒈𝒆 ⚖️ Será justicia. Maquilladora💋 ❾¾	30880.0	17059.0	329.0	873.0	1.0	False		
@CURNHumanidades	"¡Conéctate ya! Conversa con Nuestro Partners Campus @uninunez: ""Métodos para Prevenir el Contagio de COVID-19 desde casa""

Moderador: Jair Frias - Profesional de Apoyo en Movilidad y Gestión - Dirección de Relaciones Nacionales e Internacionales.

Únete👉https://t.co/GQdMQTgc5y https://t.co/auKnBYtVGt"	2020-04-10 20:19:36	es	CO	0.0	0.0		CURN - Humanidades	"Facultad Ciencias Sociales y Humanas-Corporación Universitaria Rafael Núñez.


*Cuenta Oficial Institucional: @Uninunez (VIGILADA MINEDUCACIÓN)"	11621.0	10825.0	4817.0	4911.0	19.0	False		
