Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@lindadaniela1a	La Sedena reprueba trato inhumano a soldados aparentemente con COVID-19 en Q.Roo	2020-06-11 18:32:10	es		0.0	0.0		Linda Daniela		35371.0	0.0	77.0	56.0	1.0	False		
@pierrealee	Quien ha sido flexible con el tratamiento social al #Covid_19, es el mal gobierno de @IvanDuque; pero en la lógica del @MinSaludCol, nosotros le salimos a deber... #TienenHuevo https://t.co/4ypOjSaurg	2020-06-11 18:32:09	es	CO	0.0	0.0		Pierre Alee	MSc. Ciencias Políticas / MSc. Gestión y Desarrollo Social.	135387.0	257.0	1932.0	6499.0	28.0	False		
@jaarreaza	Contribución de @vijayprashad, Director del Instituto Tricontinental @tricon_es, a la Conferencia del ALBA-TCP sobre la Economía Post #COVID__19. Construyendo un futuro para nuestros pueblos que supere el pasado de injusticia neoliberal. https://t.co/6A0bQwoshW	2020-06-11 18:32:09	es		0.0	0.0		Jorge Arreaza M	Militante Socialista-Chavista-Bolivariano. ¡Patriota! Ministro del Poder Popular para  Relaciones Exteriores. ¡Siempre Venceremos!	65543.0	417.0	8912.0	1670933.0	3561.0	True		
@dianaailed	Para que quieren saber quien es y donde está el caso positivo de covid-19, desde el primer día que se implementó la jornada de sana distancia ha sido responsabilidad individual cuidarse y tratar a las personas como posibles portadoras del virus.	2020-06-11 18:32:08	es		0.0	0.0		Diana Ailed	Sé lo que soy pero no en que puedo convertirme.	8416.0	7630.0	708.0	240.0	0.0	False		
@ELPINERO	#CORONAVIRUSXELPIÑERO🦠👾😷Oaxaca: Hospital de Especialidades de Juchitán iniciará atención a pacientes con COVID-19 - https://t.co/WOYsNxQQJQ	2020-06-11 18:32:06	es		0.0	0.0		El Piñero| Periodismo y Debate	Noticias de Oaxaca, Veracruz, Cuenca del Papaloapan, país y el mundo.	444720.0	1385.0	606.0	40748.0	322.0	False		
@lilipiana	@luckfor Como se ve que esta no sabe lo que es q una intubacion endotraqueal  xq te ahogas, te falta el aire Es amiga de Bolsonabo..una gripecita sin consecuencia el Covid 19. LA CANOSA si serás hija d la chingada.	2020-06-11 18:32:03	es	AR	0.0	0.0	@luckfor	#JusticiaPorMariana	Soy de piscis,casada, tengo 4 hijos,soy Cristinista,mi marido tambien  =3  de mis hijos,la cuarta está en duda ,igual la quiero jajaa.Creemos en nuestro país.	41343.0	2773.0	3315.0	4789.0	16.0	False		
@deseguridad969	China COVID-19 | Registra su primer caso en 56 días https://t.co/E8e8zn3zf3	2020-06-11 18:32:03	es		0.0	0.0		Hablando d Seguridad	Programa  dedicado a seguridad en sus dimensiones: empresarial, industrial, hogar, ciudadana. Temas de interés. Trasmite sábados por ES 96.9 FM 8:30 a 9:30 am.	1579.0	0.0	38.0	89.0	4.0	False		
@PeruNews	Dan de alta a mellizos nacidos de madre con COVID-19 en Trujillo [VIDEO]: https://t.co/fz1yOcgA28	2020-06-11 18:32:02	es		0.0	0.0		Perú News 🇵🇪	Todas las #Noticias del #Perú ▪ La más completa fuente de información ▪ #PerúNews ▪ RT ≠ endoso	518088.0	57897.0	131029.0	296675.0	2108.0	False		
@pedro1pedro1	China COVID-19 | Registra su primer caso en 56 días https://t.co/bkVoOfGiz6	2020-06-11 18:32:02	es		0.0	0.0		Pedro Guzman	Periodista Venezolano, Productor Audiovisual.	6228.0	121.0	909.0	513.0	13.0	False		
