Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@Vladimir_SOREN	Rusia suministrará el medicamento contra el covid-19 a América Latina. Habrá transferencia de tecnología rusa. Pero, el #Perú no está incluido. ¿Por qué @MartinVizcarraC @Minsa_Peru @pcmperu @EsSaludPeru @CONFIEP, no contactan a los rusos? No esperen más. https://t.co/SeSD4nfQ7x	2020-08-03 18:15:17	es		0.0	0.0		© Vladimir SØREN	Los 📚son universos de evasión. ✍️es una forma de existir 🤣.  #libros #investigación #Ciencia #Filosofia #Musica #Cultura	358.0	50.0	387.0	48.0	0.0	False		
@AraujoPatria	"Felicidades a esos 37 guerreros de @VTVcanal8 que han vencido una batalla más. Después de realizar su segunda prueba PCR de despistaje contra el Covid-19 y salir negativos hoy retornan a sus hogares.
¡Seguimos Venciendo!. ✊🏽 
#RegresoSeguroALaPatria https://t.co/WD8dNlaSLa"	2020-08-03 18:15:16	es		0.0	0.0		Luis Enrique Araujo	Patriota de profesión, guerrero de espíritu, soldado de corazón, Constituyente de la República y Bolivariano hasta la médula.	132.0	33.0	182.0	294.0	1.0	False		
@HoyMismoTSI	#HoyMismo #Honduras |Comité de Apoyo del Hospital Santa Bárbara Integrado hizo hoy la donación de trajes de bioseguridad reutilizables y batas descartables no estériles, a ese centro asistencial para personal que atiende en las salas de COVID-19. https://t.co/ildfU2LnLD	2020-08-03 18:15:16	es		0.0	0.0		Noticieros Hoy Mismo	Las noticias de Honduras y el mundo. Primera Edición: 7am | Al Día: 11:00am | Estelar: 6:30pm | Sábado: 12M y 6pm | Domingo: 12M.	178543.0	637.0	873.0	33329.0	116.0	False		
@UNICEFNicaragua	"Podemos construir un 🌎 más saludable, y comienza desde el nacimiento.

Al ayudar a más madres a amamantar exclusivamente durante los primeros seis meses de su bebé, podemos salvar la vida de 820,000 👶 cada año. 

👉https://t.co/8ZvCTw1d0U https://t.co/j4SeIWqXYB"	2020-08-03 18:15:15	es		0.0	0.0		UNICEF Nicaragua	UNICEF trabaja en Nicaragua desde 1950 para que niñas, niños y adolescentes disfruten de las mejores condiciones de bienestar y vivan libres de violencia.	16773.0	2384.0	8478.0	36194.0	146.0	True		
@enlaucab	"Una encuesta realizada por el Centro de Investigación y Evaluación Institucional de la UCAB, revela que en Venezuela los ciudadanos sienten incertidumbre y poca satisfacción ante las medidas de control sobre la pandemia.

📌https://t.co/hob6q0wFth https://t.co/pXc5T8mGGJ"	2020-08-03 18:15:15	es		0.0	0.0		UCAB	#Universidad Católica Andrés Bello, institución venezolana confiada a la Compañía de Jesús. Ofrece carreras de #pregrado, #postgrado y formación continua	69290.0	4538.0	481.0	197236.0	866.0	False		
@EntreLineasN	"El gobierno municipal @CambiandoMR, informa que los servidores públicos municipales, continuaran laborando, priorizando el trabajo en casa y roles de guardia dentro de las oficinas con actividad esencial y sustantiva en el municipio hasta nuevo aviso.  
https://t.co/tOgf2p1r8b"	2020-08-03 18:15:14	es		0.0	0.0		Entre Líneas	https://t.co/EOTB9HMhCD	1346.0	25.0	282.0	54.0	1.0	False		
@SebasAcevedoP	"@PrimoECosta @01Lilay Esta mal traducida la expresión que usó Tedros. La expresión original es ""There may never be a 'silver bullet' for Covid-19"". Dice que no hay solución mágica o rápida, aun con vacuna el camino para volver a la normalidad será largo."	2020-08-03 18:15:14	es		0.0	0.0	@PrimoECosta	Sebástian		8763.0	15134.0	162.0	217.0	5.0	False		
@PoliciaAlcorcon	"👉🏼 Hemos intervenido en bar de C/ Badajoz donde se celebraba un cumpleaños🎂 pero no se respetaba distancia↔️ aforo👥 ni utilizaban 😷

PD: tampoco tenía licencia de funcionamiento y el dueño una averiguación de paradero por juzgado
#Yya    

Seguimos 👇🏼💩 #Covid_19 https://t.co/2UTY7zwXRl"	2020-08-03 18:15:14	es		0.0	0.0		Policía Municipal de Alcorcón	Cuenta OFICIAL de la Policía Municipal de Alcorcón. 📲092/112 ☎️911127092	19235.0	14781.0	207.0	13827.0	133.0	True		
