Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@palomitarelowde	"#SNTEsalud ⚕️

La violencia intrafamiliar 👨‍👩‍👧 no debe ser subestimada y debe ser denunciada ⚖️ El confinamiento por #Coronavirus #COVID19 🦠 ❤️ no es un pretexto, si eres víctima no esperes más ‼️DENÚNCIALA‼️

#QuédateEnCasa #FEDESSP #ACS @inmujeres @Claudiashein @M_OlgaSCordero https://t.co/OOGu9B9gns"	2020-07-20 16:11:03	es		0.0	0.0		María/FEDESSP	#NuevaNormalidad/Ya con Dios Gordito/Maestra y Sindicalista. Colaborativa... buscando mejorar, siempre. Los tweets, mi responsabilidad.	28203.0	6460.0	612.0	2268.0	10.0	False		
@CodigoVidrioEc	"Un curandero becado en New Jersey narra sus avatares por el #COVID19. Su viaje a California y su salto a Europa con su pareja. Los aeropuertos se veían desiertos, nadie les revisó sus pasaportes. Llegaron a Croacia, donde nadie usa mascarilla...
https://t.co/eUoIXVeInc"	2020-07-20 16:11:03	es		0.0	0.0		Código Vidrio	Transparentamos las historias ocultas. Somos un portal de investigación independiente. Nuestra principal lealtad es con la verdad y los lectores.	356.0	178.0	147.0	2254.0	8.0	False		
@marthaelenacm	"#SNTEsalud ⚕️

⚫️ Cómo enfrentar el duelo ✝️ ante el #Coronavirus #COVID19❓ Sé directo con la familia 👨‍👩‍👧 y a los niños 👦👧 hazles saber que la vida sigue 🌹

#QuédateEnCasa   

#FelizLunes #20Julio #COVIDー19 #vacuna #BuenDia #ConferenciaPresidente #FEDESSP #ACS https://t.co/POXcLd7tjF"	2020-07-20 16:11:03	es		0.0	0.0		Martha Elena de la C	"Lic. de Educación primaria
Lic. en Ciencias Sociales
Pta. De la FEDESSP en Tabasco
Sria.. Servicio Profesional Docente Sección 29."	40783.0	1560.0	485.0	1188.0	18.0	False		
@ChismeDeFamosos	#NoticiasdelEspectaculo #COVID19 #diagnostico #DONVICENTEFRENANDEZ Vicente Fernández Jr revela que fue trasladado al hospital por atragantarse un pedazo de carne y le diagnosticaron COVID19 https://t.co/6AJz4pLJV2	2020-07-20 16:11:02	es		0.0	0.0		GossipVzla	Noticias de Farandula, chismes de famosos de Venezuela	37887.0	11.0	143.0	3307.0	33.0	False		
@MarianAlcala	"Muy bien por la información impresa del @GobCDMX sobre el #COVID19. Es importante entender que no todos consultan la info a través de internet o medios masivos de comunicación.

Muchos se informan del vecino o del boca-boca y esta es una buena opción. https://t.co/VhCqCEziNb"	2020-07-20 16:11:00	es		0.0	0.0		Mariana Alcalá		4341.0	269.0	475.0	177.0	0.0	False		
@FEDESSP_Tabasco	"#SNTEsalud ⚕️

⚫️ Cómo enfrentar el duelo ✝️ ante el #Coronavirus #COVID19❓ Sé directo con la familia 👨‍👩‍👧 y a los niños 👦👧 hazles saber que la vida sigue 🌹

#QuédateEnCasa   

#FelizLunes #20Julio #COVIDー19 #vacuna #BuenDia #ConferenciaPresidente #FEDESSP #ACS https://t.co/wvUwbimi4F"	2020-07-20 16:10:50	es		0.0	0.0		FEDESSP Tabasco		717.0	1088.0	177.0	102.0	0.0	False		
@rociovivancog	Conferencia de Prensa #COVID19 | 19 de julio de 2020 #GraciasPorCuidarnos https://t.co/aFP3Od1Ax3 vía @YouTube	2020-07-20 16:10:50	es		0.0	0.0		Rocío Vivanco		21768.0	10960.0	1452.0	292.0	6.0	False		
@juanfernandodt	"Un gran avance en los primeros resultados de la vacuna de la Universidad de Oxford contra el coronavirus.
https://t.co/tAbeNcl87q
#COVIDー19 #coronavirus #UniversidadDeOxford #vacunacovid #LunesDeGanarSeguidores https://t.co/U85UFZMDXe"	2020-07-20 16:10:44	es		0.0	0.0		Juan F. Dorrego	Periodista, director de http://t.co/IbMsWJCM, al filo de la noticia con Think Pad.	44328.0	2046.0	858.0	798.0	67.0	False		
