Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@periadictos	"95 fallecidos en las últimas 24 horas en España (cifra acumulada 110) – 416 nuevos contagiados desde ayer (172 notificados en los últimos 7 días) 

#últimahora #covid19 #noticias #SesiónDeControl #20demayo

https://t.co/WxGa1oumiP"	2020-05-20 15:32:32	es		0.0	0.0	@periadictos	Periadictos	Informamos, compartimos y conectamos a través de #Periscope	3072.0	1427.0	157.0	6657.0	75.0	True		
@SotomayorAli	@Catheri30848787 @BuenosDiasTVN Acaba de decir el ministro si recibido el bono Covid19 no es necesario llenar nuevamente el formulario supuestamente su primer pago será el 29 de este mes	2020-05-20 15:32:32	es		0.0	0.0	@Catheri30848787	Ali Estrella		3485.0	3814.0	121.0	49.0	0.0	False		
@24h_tve	"""De los 95 fallecidos, casi un 40% corresponden a una única comunidad autónoma y a una sola provincia"", ha dicho Fernando Simón, refiriéndose a Cataluña, donde se han notificado 40 nuevos fallecidos.

➡ https://t.co/CIqhQcVVN2 https://t.co/WxhZCFCWmi"	2020-05-20 15:32:30	es		0.0	0.0		24h	"Canal de noticias 24 horas de @rtve 
▪https://t.co/kwp0u6LCE6
▪Instagram: https://t.co/U8mESnXCbo
▪Facebook: https://t.co/v5KtO9nZGP
▪Youtube: https://t.co/srvqHQp4fJ"	289002.0	3575.0	929.0	1432655.0	8154.0	True		
@NoticiasONU	"""Una importante respuesta colaborativa a la resolución será la plataforma de tecnología sobre el #COVID19 propuesta por #CostaRica, que se lanzará el 29 de mayo y que intenta levantar las barreras para que haya vacunas efectivas, medicinas y otros productos sanitarios""
@DrTedros https://t.co/CfdzlLO819"	2020-05-20 15:32:28	es		0.0	0.0	@NoticiasONU	Noticias ONU	Cuenta oficial del servicio de noticias  de las Naciones Unidas. Informamos sobre la actualidad de la ONU en todo el mundo.	25502.0	939.0	302.0	309494.0	1807.0	True		
@roversar	@connifold @AngelaMartialay No mintieron. Ayer el director de epidemiología de un hospital explicó nítidamente en @Lanoche_24h que al principio no se recomendaron para la población en base a criterios científicos q ahora, con más conocimiento del covid19, se sabe no eran acertados. Eso + desabastecimiento.	2020-05-20 15:32:25	es		0.0	0.0	@connifold	Ro Versar	"Educación Social. Profesora de Yoga. Optimista sin cura en beta permanente ...
WE ARE ONE ∞"	475.0	2096.0	232.0	31.0	0.0	False		
@Atrevia	"🗨️ ''Los jóvenes de la #GeneraciónZ ya estaban acostumbrados a vivir, socializarse y formarse en Internet. La resiliencia con la que han afrontado esta situación es un aprendizaje que debemos extraer de ellos''.

@InakiOrtega #WebinarATREVIA 💻 
#Digitalización #COVID19"	2020-05-20 15:32:22	es		0.0	0.0		ATREVIA	"Porque hoy la Comunicación tiene nuevos desafíos.

Somos una empresa global de Comunicación y Posicionamiento Estratégico formada por casi 400 profesionales."	15169.0	7955.0	9590.0	21309.0	1057.0	False		
@KatherinePencue	"Próximamente deserción
Estudiantil y Laboral 🇨🇴

COVID19
#QuedateEnCasa"	2020-05-20 15:32:22	es		0.0	0.0		Katherine Pencue	Indígena NASA Páez	26.0	31.0	93.0	4.0	0.0	False		
@Diario_Pontev	#Covid19 ⭕ Repunta la cifra de fallecidos con #coronavirus: 95 muertos en un día ►Crecen también los contagios, con 416 nuevos casos desde el martes https://t.co/hd0HzYM0jZ	2020-05-20 15:32:19	es		0.0	0.0		Diario de Pontevedra	Diario líder en difusión (según los datos del EGM) en la ciudad de Pontevedra y su ámbito de influencia, así como en otras comarcas de la provincia.	156495.0	79.0	120.0	16335.0	308.0	False		
