Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@angelmetropoli	"#Confirmado | El subsecretario López-Gatell informó que #México entró a la fase 3 de la epidemia por #Covid19 lo que significa que los contagios y muertes por coronavirus se contarán por miles.
-
#QuédateEnCasa #AMLO #SanaDistancia

https://t.co/Yb0AF2Flkc"	2020-04-26 16:31:00	es		0.0	0.0		Ángel Metropolitano	Bisemanario digital en México #ÁngelMetropolitano	8198.0	597.0	212.0	6201.0	9.0	False		
@elaguachile_mex	"#LoMásLeído🦠
Coronacrisis Mundial
👉🏼https://t.co/wntfd9Gn7o

El #coronavirus parece haber cambiado los planes de todo el mundo y tiene al todos a sus pies, ¿qué podemos esperar?
#COVID19 #FelizFinde https://t.co/WV5YtUbF8S"	2020-04-26 16:31:00	es		0.0	0.0		El Aguachile	Revista de análisis libre y original sobre el entorno político, económico y social de nuestro país. ¡Saquémosle jugo al diálogo #CrudoYPicante! 🌶	1681.0	638.0	685.0	732.0	2.0	False		
@claudio_diazp	"Hoy, mañana y el 25-O #Apruebo
#AprueboNuevaConstitucion #ConvenciónConstitucional #ChileDesperto #QuedateEnLaCasa #COVID19 https://t.co/dAIIYPhOxj"	2020-04-26 16:31:00	es		0.0	0.0		Claudio Díaz Peña	Penquista Aysenizado. Socio-Fundador de EPD Comunicaciones. Periodista #UdeC comunicando en la mágica Patagonia por opción. Aquí Opinión Personal	11995.0	3350.0	172.0	1218.0	11.0	False		
@QuadratinY	"#Nacional La Ciudad de México cuenta con un espacio más para atender a las personas que logren superar la terapia intensiva, pero que aún requieran atención médica especializada por el nuevo coronavirus #Covid19 🛏️🦠 
👇 https://t.co/juLhDEmNvv"	2020-04-26 16:30:58	es		0.0	0.0		Quadratín Yucatán	Quadratín Yucatán, Agencia Mexicana de Información y Análisis. Noticias, opiniones y multimedia periodística.	1714.0	26.0	153.0	106.0	0.0	False		
@Camila48254767	@T13 Covid19!!! Llevatelos luegooo!! Estan de sobra en este pais estos wetas!	2020-04-26 16:30:57	es		0.0	0.0	@T13	Camila		96.0	444.0	63.0	2.0	0.0	False		
@ElDominicalTV	#VillaPanamericana: habilitarán dos torres más para policías con #COVID19 ► https://t.co/E0oNLllQcr https://t.co/UmMd6HqMqd	2020-04-26 16:30:53	es		0.0	1.0		El Dominical	Los hechos más resaltantes de la semana. Domingos 8AM por @PanamericanaTV	4155.0	0.0	33.0	19186.0	53.0	False		
@maykolquispeu	@MartinVizcarraC Sr. Presidente, hay mucha gente que llega a los hospitales con COVID19 y no es posible que les digan que porque no hay cama se vayan , esto propaga la enfermedad no se dan cuenta? Deben aceptarlos y aislarlos pero no enviarlos a otra parte. https://t.co/Q34O9w0rTv	2020-04-26 16:30:53	es		0.0	0.0	@MartinVizcarraC	GAFICORP	"DESEAS APRENDER A GENERAR BITCOINS GRATIS DESDE CERO?
BIENVENIDO"	389.0	126.0	370.0	96.0	0.0	False		
@CSA_1	Creo que hoy debemos enfocar esta pandemia con perspectiva histórica y pensar mas bien en “el COVID19 en tiempos de los políticos irresponsables” o “de la poca tolerancia” o “de la poca paciencia” o “de la mala educación (cívica y de la otra)”... en fin, en la cultura que vivimos https://t.co/CnHUxkEVBf	2020-04-26 16:30:52	es		0.0	0.0		Carlos Silva Alliende	Cuenta privada (de muchas cosas)	3946.0	6518.0	1124.0	598.0	4.0	False		
