Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@C_Zeta	"Estas compañías anunciaron que los empleados no volverán a la oficina hasta el 2021:
Google
Universal Music Group
Warner Music Group
Sony Music
Amazon corporate
Viacom
Scotiabank
RBS (Royal Bank of Scotland)
Group Nine Media
Indeed

#ElSalvador #COVID19

https://t.co/hQIdvrXkxf"	2020-08-03 20:18:15	es		0.0	0.0		Carlos Zelayandía ツ 🇸🇻	"Be on your guard; stand firm in the faith; be courageous; be strong.
—1 Corinthians 16:13 NIV"	8551.0	2303.0	225.0	458.0	13.0	False		
@DulcesNoticias	"Cool Candies: ""El Covid-19 implica cambios profundos tanto en hábitos de comportamiento como en el enfoque del negocio"" #coronavirus #Covid19 #NuevaNormalidad #EraPosCovid https://t.co/BnsE8msljw https://t.co/icrdjOGeQ4"	2020-08-03 20:18:09	es		0.0	0.0		Dulces Noticias	Dulces Noticias... y algo más es la revista líder del sector de la alimentación por impulso en España.	13116.0	1334.0	1521.0	3178.0	78.0	False		
@Paulandinos	"Tapaboca de tela: ¿Cómo se debe usar?
Para ponerla debe primero lavarse bien las manos. Tómela y ajuste de tal manera que ajuste la nariz, cubra la boca y ajuste en la mandíbula. Debe de igual manera ajustar a los lados de la cara. 
#Covid19 #Tapaboca #Uso #Prevención #PAULA https://t.co/XfmrbFTSnM"	2020-08-03 20:18:08	es		0.0	0.0		PrimerosAuxiliosULA	Fundación sin fines de lucro. Somos estudiantes y profesionales del área de la salud que prestamos primeros auxilios sin distinción.	623.0	90.0	27.0	1733.0	16.0	False		
@DanielRolandoJ	Hoy tenemos que sumarnos a las medidas y acciones implementadas por el gobernador @omarfayad y avanzar con los protocolos sanitarios del #OperativoEscudo para hacerle frente al #COVID19. https://t.co/OqbZ1ube5o	2020-08-03 20:18:08	es		0.0	0.0		Daniel Jiménez Rojo		10790.0	6549.0	631.0	5510.0	23.0	False		
@GeomedicaC	"Turismo en #Cuba. 

Reciben a los primeros turistas extranjeros tras el confinamiento por el #COVID19 

Lanzan Programas de Turismo Salud https://t.co/roqFbW6axo https://t.co/1GSwRgnb9a"	2020-08-03 20:18:07	es		0.0	0.0		geomedica.com.ar	Representante Oficial de los Centros Médicos de Cuba	370.0	235.0	126.0	50.0	0.0	False		
@JulyPerezH	@moiDUDE @M2Octubre @AlvaroUribeVel no dan ni para contagiar el covid19	2020-08-03 20:17:57	es		0.0	0.0	@moiDUDE	Juliana Perez	No soy un ejemplo a seguir, pero si en dar Ret y Me Gusta.	31753.0	20723.0	1014.0	517.0	4.0	False		
@noficcionweb	"#Preocupación
‼️ Cada vez más casos de #COVID19 en una empresa de colectivos
#SanJusto #LaMatanza #LaCabaña 
https://t.co/3ROsfNiDWU"	2020-08-03 20:17:56	es		0.0	0.0		NoFiccionWeb	"Portal de noticias del Conurbano Oeste: 
#LaMatanza #Morón #TresDeFebrero #Moreno #Hurlingham #Ituzaingó #Merlo #SanMartín"	1698.0	57.0	702.0	344.0	4.0	False		
@Ojo_Publico	El alcalde del distrito de Mollebaya, provincia de #Arequipa, Jaime Tueros Ramos, dio positivo para  #COVID19 y se encuentra internado en el hospital central de EsSalud. En esta región ya son 4 los burgomaestres contagiados. Foto: Municipio de Mollebaya. https://t.co/ddXRLox165	2020-08-03 20:17:54	es		0.0	0.0		Ojo-Publico. com	Investigamos el poder. Premios globales de periodismo de datos 2015 y 2020, Derechos humanos 2015, SIP 2017 -2018, LASA 2019. Programa de entrenamiento @ojolab	49930.0	3160.0	451.0	86407.0	703.0	False		
