Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@PerspectivaGT	#Opinión ¿Cómo evitar que la pandemia ataque mi relación de pareja? https://t.co/I1qqbOrdO4 Por @virgiliocordon #pandemia #relacióndepareja #pareja #COVID19 #perspectivagt https://t.co/eDjlO1Pwkn	2020-04-07 02:00:03	es		0.0	0.0		PERSPECTIVA	El medio de análisis y actualidad en Guatemala.	22540.0	334.0	1044.0	9216.0	33.0	False		
@DATENBANK_	"[#COVID19]: 6/04 (21:00). 
124 decesos, 2,439 casos.

Gatell: Estamos entrando a la fase más intensa y hemos estimado que en las próximas dos o tres semanas se tendrá un crecimiento acelerado

China no reporta ninguna muerte en las últimas 24 horas"	2020-04-07 02:00:02	es		0.0	0.0	@DATENBANK_	DATENBANK	Data is the new currency.	52.0	0.0	3.0	18.0	0.0	False		
@_ElFaro_	"#COVID19 | En La Tiendona, central de abastos de la capital, todo se toca, todos se rozan, las mascarillas son absurdas y los guantes de látex son de otro planeta. 

https://t.co/cHMxGuBD6q"	2020-04-07 02:00:00	es		0.0	0.0		elfaro.net	"Primer periódico digital de LATAM | Nos interesa investigar y explicar lo que pasa en esta parte del mundo | #ApoyaAElFaro #PeriodismoIncómodo:
https://t.co/AxgyHk3vf5"	113128.0	3713.0	645.0	507750.0	1665.0	True		
@laCuerda2	"Pronunciamiento de La Cuerda 

#QuedemonosEnCasa #Cuarentena #ToqueDeQueda #Guatemala
#COVID19 #COVID19gt #Coronavirus #CoronavirusGT https://t.co/yUA4Mhpoi3"	2020-04-07 02:00:00	es		0.0	0.0		laCuerda	Publicación feminista en Guatemala desde hace más de 20 años.	1062.0	266.0	334.0	1790.0	15.0	False		
@el_telegrafo	"#Amazon canceló  la suscripción de libros e historias de audio para niños y estudiantes de todas las edades.

Te contamos cómo los puedes disfrutar junto a sus hijos►https://t.co/IDNp5OO9NA https://t.co/130k8dv5pB"	2020-04-07 02:00:00	es		0.0	0.0		El Telégrafo Ecuador	Primer diario nacional fundado en 1884. Medio público de Ecuador.	359436.0	3122.0	6670.0	530589.0	2346.0	False		
@Tabasco_IMSS	Una sociedad informada está mejor preparada ante el #Coronavirus #COVID19 ¡inscríbete! https://t.co/QO8lyGUdon	2020-04-07 02:00:00	es		0.0	0.0		IMSS Tabasco		4604.0	724.0	124.0	885.0	3.0	False		
@GobCDMX	"Separar la basura también es una forma de prevenir el contagio de #COVID19 🗑️♻️💉

Sigue estas medidas. Así, entre todos nos cuidamos 🙌

#QuédateEnCasaYa 🏡 #QuédateEnCasaCDMX https://t.co/qHw0agYCUn"	2020-04-07 02:00:00	es		0.0	0.0		Gobierno CDMX	Gobierno de la Ciudad de México	133758.0	216.0	215.0	2756383.0	4281.0	True		
@ElMundoSV	#LoMásLeído | Confirman cuarto fallecimiento por #COVID19 en #ElSalvador  &gt; https://t.co/kSIjAHY7mE https://t.co/9s6rYJnWvI	2020-04-07 02:00:00	es		0.0	0.0		Diario El Mundo	Tu diario libre y objetivo, fundado en 1967. Noticias, entretenimiento y deportes. Revistas: https://t.co/5toMcWSHBd https://t.co/zeArtRP44n https://t.co/qhakk4kF42	459064.0	2163.0	1004.0	322329.0	920.0	True		
