Author	Content	Date	Language	Location	Number of Likes	Number of Retweets	In Reply To	Author Name	Author Description	Author Statuses Count	Author Favourites Count	Author Friends Count	Author Followers Count	Author Listed Count	Author Verified	Longitude	Latitude
discrete	string	time	discrete	discrete	continuous	continuous	discrete	discrete	string	continuous	continuous	continuous	continuous	continuous	discrete	continuous	continuous
class	meta title=True	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta	meta
@duemileurista	"Miles de manifestantes contra el racismo hoy gritando ""No puedo respirar"".
Lo mismo que han dicho las miles de personas ingresadas por #COVID19 en los hospitales.
#Prudencia #responsabilidad #ErBichoSigueAquí"	2020-06-07 20:21:29	es		0.0	0.0		Enfermero Mileurista #YoMeQuedoEnCasa	"Enfermero en Internalia del @HUVV_SAS. Colecciono estrellas y fotos de la Luna.
🔭 ✨ 📷🌕🎶 
@accionenfermra @SalvaRR"	19591.0	7148.0	284.0	8904.0	94.0	False		
@carlosmgturismo	"#Infórmate
La #CDMX se encuentra en #SemáforoRojo, por lo que debemos maximizar las medidas preventivas.
Cuidémonos entre todas y todos para reducir la propagación del #COVID19. 

#JuntosVamosASalirAdelante
#ProtégeteYProtegeALosDemás https://t.co/VgLaEXCqM7"	2020-06-07 20:21:26	es		0.0	0.0		Carlos Mackinlay G.	Secretario de Turismo de la Ciudad de México • Vamos por la reconstrucción del país, de la política y de la democracia.	2792.0	2939.0	546.0	3565.0	41.0	True		
@loretomelendezg	@Faby_ivonne @vina1480 @radio_festival @punto7valpo @sitiodelsuceso Ojalá no tener que asistir el adulto mayor a una urgencia médica !! En este momento que todo colapsado por Covid19 .	2020-06-07 20:21:22	es		0.0	0.0	@Faby_ivonne	Loreto Melendez		39047.0	26632.0	474.0	334.0	0.0	False		
@alfredlanda	"A ver, que tampoco hay prisa en que vuelva el #futbol, eh?
#COVID19 #Desescalada"	2020-06-07 20:21:16	es		0.0	0.0		H Mac	"Conocí a Peter Ustinov.
Un tío con gancho 💪🏀
Bauticé 2 ✈️ de Volotea: Asturias Spirit y Voh-lalá. Y 1🐵, Akiba, del Zoo d Barcelona.

Mi tumba en @acSadHill"	21525.0	32896.0	910.0	409.0	21.0	False		
@CQSchmidt	"Covid19 nos tiene encerrados, atemorizados y endeudados. Tormentas causaron graves daños. Muchos han fallecido

Efectos: La cuarentena dañó nuestra capacidad productiva. Las tormentas destruyeron casas e infraestructura.

Como rehacemos lo perdido: sólo trabajando. Urge comenzar!"	2020-06-07 20:21:08	es		1.0	0.0		Carlos Quintanilla-Schmidt	Ex-Vicepresidente de ElSalvador. Abogado Corporativo-Consultor Legal. Socio LatamLex. Profesor de Dcho Mercantil. Orientador Público a través de Redes Sociales.	4445.0	284.0	830.0	13070.0	51.0	False		
@BlogDelRegio	"Estas gráficas muestran los contagios acumulados y la incidencia diaria de casos de Covid-19 en Nuevo León desde el pasado 1 de mayo hasta este domingo 7 de junio. 🦠😷

#NuevoLeón #Coronavirus #CasosPositivos #CasosConfirmados #Covid19 #QuédateEnCasa https://t.co/uEsGAYGPc7"	2020-06-07 20:21:05	es		0.0	0.0	@BlogDelRegio	Blog del Regio	Artículos, reviews, tutoriales, tecnología, emprendedores, noticias, información del momento. Visítanos también en https://t.co/241pgiGOwm	13474.0	138.0	1557.0	7455.0	19.0	False		
@DarioZacariasC	Gracias @DipPRIedomex y federales por ayudarnos a garantizar empleo, abasto y productividad en el país durante y después de #COVID19 https://t.co/0CiBh5M5qV	2020-06-07 20:21:04	es		1.0	0.0		Darío Zacarías Capuchino	Secretario General del Pri Estado de México.	3775.0	4221.0	2093.0	6241.0	17.0	False		
@SNAI_Ec	"#SNAI_Zona6 En el #CRSTuri Regional, en coordinación con @Salud_Ec, continúan realizando evaluaciones a #PPL y personal de seguridad. El objetivo es detectar a tiempo síntomas  asociados al #COVID19.

#RehabilitaciónEfectiva 
#JuntosEcuador🇪🇨 https://t.co/yKglvppfAl"	2020-06-07 20:21:03	es		0.0	0.0		Servicio Integral Ecuador	Cuenta oficial del Servicio Nacional de Atención Integral a Personas Adultas Privadas de Libertad y a Adolescentes Infractores del Ecuador	11753.0	2596.0	610.0	4077.0	7.0	False		
